"...1","year","period","predicted_abundance","arma","aicc","Lo 50","Hi 50","Lo 95","Hi 95","model","abundance","error","APE","MAPE","rank"
259,2015,1,77971.9338711782,"0000210",21.2111133053418,61593.173235751,98706.1090088884,39297.320362364,154708.321472066,"5",268.9,-77703.0338711782,288.966284385192,NA,11
273,2016,1,127567.12103282,"0000210",22.8175458843864,100341.883689163,162179.239319579,63501.6935707244,256266.714374758,"5",247.7,-127319.42103282,514.006544339201,NA,14
287,2017,1,90486.4602505113,"0000210",23.4543527753198,71211.716494845,114978.263292672,45110.9639573453,181503.536399917,"5",291.8,-90194.6602505113,309.097533415049,NA,14
301,2018,1,67302.6153342786,"0000210",23.8039445587108,53059.2990618698,85369.4283739423,33724.3718684215,134313.607040827,"5",182.8,-67119.8153342786,367.176232682049,NA,14
315,2019,1,42398.7203402513,"0000210",25.277896720099,33320.2056891388,53950.7919987666,21050.8761286485,85395.5662227468,"5",340.7,-42058.0203402513,123.445906487383,NA,14
329,2020,1,31628.8035970536,"0000210",25.333951134087,24928.8637632662,40129.4349586481,15837.0939167316,63166.9687785399,"5",387.7,-31241.1035970536,80.5806128373835,NA,14
343,2021,1,66110.4413794213,"0000210",28.2195476648551,51656.2874508663,84609.0703583577,32278.8208180624,135401.180979208,"5",841.3,-65269.1413794213,77.581292499015,19901.3827517868,7
357,2022,1,51626.4685162482,"0000210",28.1627778344275,40477.6165633386,65846.0768629636,25459.3864894874,104687.999946884,"5",696,-50930.4685162482,73.1759605118509,19649.6426658319,7
371,2023,1,78274.1154339053,"0000210",29.0187122407686,61353.8985701194,99860.6003815415,38569.9688850581,158849.937504975,"5",NA,NA,NA,19166.9891158519,6
2,1993,1,7497.14931037011,"0000200",-22.9002698799171,6616.79085487587,8494.63871758379,5215.03932674614,10777.91446245,"6",223.3,-7273.84931037011,32.5743363652938,NA,2
9,1994,1,5800.67016474551,"1000200",-35.5905108376746,4830.77379070294,6965.29703479916,3408.5942007073,9871.4520940001,"6",214.1,-5586.57016474551,26.0932749404274,NA,2
17,1995,1,13312.0100870828,"0000200",28.7346294494436,11056.4169100554,16027.7614348486,7761.53162495824,22831.783869662,"6",139.4,-13172.6100870828,94.4950508399053,NA,3
26,1996,1,13295.9062006407,"0000200",15.4784610479853,11307.3390058803,15634.1931204418,8303.66327410859,21289.5340117479,"6",176.5,-13119.4062006407,74.3309133180776,NA,4
